LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C14663,CC0603KRX7R9BB104,YAGEO,,0603,50V 100nF X7R ±10% 0603 Ceramic Capacitors RoHS,YES,200,0.0024,0.48,,,-
C15849,CL10A105KB8NNNC,Samsung Electro-Mechanics,,0603,50V 1uF X5R ±10% 0603 Ceramic Capacitors RoHS,YES,100,0.0049,0.49,,,-
C98220,RC0603FR-0710KL,YAGEO,,0603,100mW 10kΩ 75V ±100ppm/℃ Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,200,0.0011,0.22,,,-
C14877,ATMEGA328P-AU,MICROCHIP,,TQFP-32(7x7),AVR 20MHz 23 TQFP-32(7x7) Microcontrollers RoHS,YES,30,1.6088,48.26,,,-
C13738,X322516MLB4SI,YXC Crystal Oscillators,,SMD3225-4P,Crystal Oscillator 9pF SMD3225-4P Crystals RoHS,YES,40,0.0662,2.65,,,-
